PC 1,PC 2,Popularity 1,Score 2
Aradove Hastur,Argentia Crescent-Moon,0.096153846,0
Aradove Hastur,Eurydice Von Doom,0.096153846,1
Aradove Hastur,Fabian Thrillseeker,0.096153846,1
Aradove Hastur,Fibble Von Rienstone the Third,0.096153846,1
Aradove Hastur,Ikur Zyras,0.096153846,1
Aradove Hastur,Jingles,0.096153846,1
Aradove Hastur,Lee,0.096153846,1
Aradove Hastur,Minnark The Brutish,0.096153846,0
Aradove Hastur,Rayth Blackthorn,0.096153846,1
Aradove Hastur,Ryn,0.096153846,2
Aradove Hastur,Sharlyn Zaralvath,0.096153846,1
Aradove Hastur,Thune Fennen,0.096153846,1
Aradove Hastur,Toku,0.096153846,2
Aradove Hastur,Velnaur,0.096153846,1
Aradove Hastur,Warren Woodard,0.096153846,1
Argentia Crescent-Moon,Aradove Hastur,0.038461538,0
Argentia Crescent-Moon,Eurydice Von Doom,0.038461538,0
Argentia Crescent-Moon,Fabian Thrillseeker,0.038461538,0
Argentia Crescent-Moon,Fibble Von Rienstone the Third,0.038461538,0
Argentia Crescent-Moon,Ikur Zyras,0.038461538,0
Argentia Crescent-Moon,Jingles,0.038461538,0
Argentia Crescent-Moon,Lee,0.038461538,1
Argentia Crescent-Moon,Minnark The Brutish,0.038461538,1
Argentia Crescent-Moon,Rayth Blackthorn,0.038461538,1
Argentia Crescent-Moon,Ryn,0.038461538,1
Argentia Crescent-Moon,Sharlyn Zaralvath,0.038461538,1
Argentia Crescent-Moon,Thune Fennen,0.038461538,0
Argentia Crescent-Moon,Toku,0.038461538,1
Argentia Crescent-Moon,Velnaur,0.038461538,0
Argentia Crescent-Moon,Warren Woodard,0.038461538,0
Eurydice Von Doom,Aradove Hastur,0.070512821,1
Eurydice Von Doom,Argentia Crescent-Moon,0.070512821,0
Eurydice Von Doom,Fabian Thrillseeker,0.070512821,1
Eurydice Von Doom,Fibble Von Rienstone the Third,0.070512821,0
Eurydice Von Doom,Ikur Zyras,0.070512821,2
Eurydice Von Doom,Jingles,0.070512821,0
Eurydice Von Doom,Lee,0.070512821,1
Eurydice Von Doom,Minnark The Brutish,0.070512821,0
Eurydice Von Doom,Rayth Blackthorn,0.070512821,1
Eurydice Von Doom,Ryn,0.070512821,0
Eurydice Von Doom,Sharlyn Zaralvath,0.070512821,0
Eurydice Von Doom,Thune Fennen,0.070512821,2
Eurydice Von Doom,Toku,0.070512821,0
Eurydice Von Doom,Velnaur,0.070512821,1
Eurydice Von Doom,Warren Woodard,0.070512821,2
Fabian Thrillseeker,Aradove Hastur,0.032051282,1
Fabian Thrillseeker,Argentia Crescent-Moon,0.032051282,0
Fabian Thrillseeker,Eurydice Von Doom,0.032051282,1
Fabian Thrillseeker,Fibble Von Rienstone the Third,0.032051282,0
Fabian Thrillseeker,Ikur Zyras,0.032051282,1
Fabian Thrillseeker,Jingles,0.032051282,0
